Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Primary Equipment ,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Grip,Load Position (Ending),Continuous or Alternating Legs ,Movement Pattern #1,Movement Pattern #2,Plane Of Motion #1,Body Region,Force Type,Mechanics,Primary Exercise Classification
Slider Landmine Shoulder Contralateral Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Landmine,1,Standing,Single Arm,Neutral,Shoulder,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Slider Single Arm Landmine Front Rack Contralateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Landmine,1,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Slider Single Arm Landmine Front Rack Ipsilateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Landmine,1,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Slider Single Arm Landmine Suitcase Contralateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Landmine,1,Standing,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Slider Single Arm Landmine Suitcase Ipsilateral Reverse Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Landmine,1,Standing,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Slider Single Arm Landmine Overhead Contralateral Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Landmine,1,Standing,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Slider Single Arm Landmine Overhead Ipsilateral Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Landmine,1,Standing,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Suspension Squat Jump,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Suspension Trainer,None,0,Standing,Double Arm,Neutral,No Load,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Plyometric
Alternating Double Dumbbell Incline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,Bench (Incline),1,Seated,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,Bench (Decline),1,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Miniband Glute Bridge,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Miniband,None,0,Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Alternating Double Dumbbell Top Down Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,Bench (Flat),1,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Top Down Incline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,Bench (Incline),1,Seated,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Top Down Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,Bench (Decline),1,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Bar Dead Hang,Video Demonstration,,Beginner,Forearms,Brachioradialis,Latissimus Dorsi,Pull Up Bar,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Isometric Hold,,Sagittal Plane,Upper Body,Other,Compound,Calisthenics
Trap Bar Deadlift,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Trap Bar,None,0,Standing,Double Arm,Neutral,Other,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Pull,Compound,Bodybuilding
Trap Bar Staggered Stance Deadlift,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Trap Bar,None,0,Staggered Stance,Double Arm,Neutral,Other,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Pull,Compound,Bodybuilding
Resistance Band Alternating Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Resistance Band,None,0,Standing,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Landmine Goblet Alternating Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Landmine,None,0,Standing,Double Arm,Goblet,Front Rack,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Landmine Goblet Curtsy Lunge,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Landmine,None,0,Standing,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Barbell Overhead Alternating Curtsy Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,None,0,Standing,Double Arm,Pronated,Overhead,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Barbell Back Rack Alternating Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,None,0,Standing,Double Arm,Pronated,Back Rack,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Barbell Zercher Alternating Curtsy Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,None,0,Standing,Double Arm,No Grip,Zercher,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Trap Bar Suitcase Carry,Video Demonstration,Video Explanation,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Trap Bar,None,0,Walking,Double Arm,Neutral,Suitcase,Alternating,Loaded Carry,,Sagittal Plane,Full Body,Other,Compound,Unsorted*
Trap Bar Romanian Deadlift,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,Trap Bar,None,0,Standing,Double Arm,Neutral,Other,Continuous,Hip Hinge,,Sagittal Plane,Lower Body,Pull,Compound,Bodybuilding
Resistance Band Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Resistance Band,None,0,Standing,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Resistance Band Chest Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Resistance Band,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Resistance Band Alternating Chest Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Resistance Band,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Trap Bar Deficit Deadlift,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,,Trap Bar,None,0,Standing,Double Arm,Neutral,Suitcase,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Pull,Compound,Bodybuilding
Trap Bar Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Trap Bar,Bench (Flat),1,Single Leg Supported,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Trap Bar Squat Jump,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Trap Bar,None,0,Standing,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Plyometric
Resistance Band Chest Fly,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Anterior Deltoids,Resistance Band,None,0,Staggered Stance,Double Arm,Neutral,No Load,Continuous,Horizontal Adduction,,Transverse Plane,Upper Body,Push,Isolation,Bodybuilding
Battle Rope Power Slam to Burpee,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Horizontal Push,,Sagittal Plane,Full Body,Other,Compound,Plyometric
Resistance Band Low Row,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,,Resistance Band,None,0,Standing,Double Arm,Neutral,No Load,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Battle Rope Alternating Reverse Lunge Alternating Wave ,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Biceps Brachii,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Alternating,Knee Dominant,,Sagittal Plane,Full Body,Other,Compound,Unsorted*
Bodyweight Isometric Split Squat Hold,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,None,0,Isometric Split Squat,No Arms,No Grip,No Load,Continuous,Isometric Hold,Knee Dominant,Sagittal Plane,Lower Body,Other,Compound,Balance
Bodyweight Split Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,None,0,Split Squat,No Arms,No Grip,No Load,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Unsorted*
Barbell Frog Pump,Video Demonstration,,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Barbell,None,0,Bridge,Double Arm,Pronated,Hip Crease,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Barbell Front Rack Calf Raise,Video Demonstration,,Novice,Calves,Gastrocnemius,Soleus,Barbell,None,0,Standing,Double Arm,Pronated,Front Rack,Continuous,Ankle Plantar Flexion,,Sagittal Plane,Lower Body,Push,Isolation,Bodybuilding
Barbell Back Rack Calf Raise,Video Demonstration,,Novice,Calves,Gastrocnemius,Soleus,Barbell,None,0,Standing,Double Arm,Pronated,Back Rack,Continuous,Ankle Plantar Flexion,,Sagittal Plane,Lower Body,Push,Isolation,Bodybuilding
Trap Bar Calf Raise,Video Demonstration,,Novice,Calves,Gastrocnemius,Soleus,Trap Bar,None,0,Standing,Double Arm,Neutral,Suitcase,Continuous,Ankle Plantar Flexion,,Sagittal Plane,Lower Body,Push,Isolation,Bodybuilding
Barbell Zercher Cyclist Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Slant Board,1,Standing,Double Arm,No Grip,Zercher,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Trap Bar Rack Pull,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Trap Bar,None,0,Standing,Double Arm,Neutral,Suitcase,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Pull,Compound,Bodybuilding
Resistance Band Mid Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,,Resistance Band,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Resistance Band Face Pull,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Resistance Band,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Shoulder External Rotation,,Transverse Plane,Upper Body,Pull,Compound,Bodybuilding
Resistance Band Face Pull to Overhead Press,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Resistance Band,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Shoulder External Rotation,Vertical Push,Transverse Plane,Upper Body,Push & Pull,Compound,Bodybuilding
Single Arm Resistance Band Low Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,,Resistance Band,None,0,Standing,Single Arm,Neutral,No Load,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Resistance Band Mid Row,,,Beginner,Back,Latissimus Dorsi,,Resistance Band,None,0,Standing,Single Arm,Pronated,No Load,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Resistance Band Chest Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Resistance Band,None,0,Standing,Single Arm,Pronated,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Resistance Band Reverse Grip Bicep Curl,Video Demonstration,Video Explanation,Beginner,Forearms,Brachioradialis,Biceps Brachii,Resistance Band,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Resistance Band Alternating Reverse Grip Bicep Curl,,,Beginner,Forearms,Brachioradialis,Biceps Brachii,Resistance Band,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Resistance Band Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Resistance Band,None,0,Standing,Double Arm,Neutral,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Battle Rope Jumping Jack,Video Demonstration,Video Explanation,Novice,Shoulders,Lateral Deltoids,,Battle Ropes,None,0,Standing,Double Arm,Neutral,Lateral,Continuous,Shoulder Abduction,,Sagittal Plane,Full Body,Other,Compound,Plyometric
Battle Rope Squat Jump Power Slam,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Knee Dominant,,Sagittal Plane,Full Body,Other,Compound,Plyometric
Battle Rope Alternating Side Slam,Video Demonstration,,Novice,Abdominals,Obliques,,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Battle Rope Squat Jump Alternating Wave,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Knee Dominant,,Sagittal Plane,Full Body,Other,Compound,Plyometric
Battle Rope In and Out Squat Jump Power Slam,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Knee Dominant,,Frontal Plane,Full Body,Other,Compound,Plyometric
Battle Rope In and Out Squat Jump Alternating Wave,,,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Knee Dominant,,Frontal Plane,Full Body,Other,Compound,Plyometric
Bodyweight In and Out Squat Jump,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,None,0,Standing,No Arms,No Grip,No Load,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Plyometric
Miniband Thigh In and Out Squat Jump,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,None,0,Standing,No Arms,No Grip,No Load,Continuous,Hip Abduction,Knee Dominant,Frontal Plane,Lower Body,Push,Compound,Plyometric
Miniband Ankle In and Out Squat Jump,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,None,0,Standing,No Arms,No Grip,No Load,Continuous,Hip Abduction,Knee Dominant,Frontal Plane,Lower Body,Push,Compound,Plyometric
Resistance Band Alternating Hammer Curl,,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Resistance Band,None,0,Standing,Double Arm,Neutral,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Resistance Band Y Raise,,,Beginner,Shoulders,Posterior Deltoids,,Resistance Band,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Unsorted*,,Sagittal Plane,Upper Body,Pull,Compound,Unsorted*
Battle Rope Isometric Split Squat Power Slam,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Quadriceps Femoris,Battle Ropes,None,0,Isometric Split Squat,Double Arm,Neutral,Other,Continuous,Unsorted*,,Sagittal Plane,Full Body,Other,Compound,Balance
Battle Rope Alternating Split Squat Jump Alternating Wave,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Biceps Brachii,Battle Ropes,None,0,Split Squat,Double Arm,Neutral,Other,Alternating,Knee Dominant,,Sagittal Plane,Full Body,Other,Compound,Plyometric
Battle Rope Alternating Split Squat Jump Power Slam,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Rectus Abdominis,Battle Ropes,None,0,Split Squat,Double Arm,Neutral,Other,Alternating,Knee Dominant,,Sagittal Plane,Full Body,Other,Compound,Plyometric
Single Arm Kettlebell Front Rack Contralateral Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Resistance Band Cuban Press,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Triceps Brachii,Resistance Band,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Shoulder External Rotation,Vertical Push,Transverse Plane,Upper Body,Push & Pull,Compound,Unsorted*
Single Arm Kettlebell Overhead Contralateral Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Resistance Band Tall Kneeling Cuban Press,,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Triceps Brachii,Resistance Band,None,0,Tall Kneeling,Double Arm,Pronated,No Load,Continuous,Shoulder External Rotation,Vertical Push,Transverse Plane,Upper Body,Push & Pull,Compound,Unsorted*
Superband Pull Apart,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,,Superband,None,0,Standing,Double Arm,Supinated,Lateral,Continuous,Shoulder Abduction,,Frontal Plane,Upper Body,Pull,Isolation,Mobility
Resistance Band Tall Kneeling Face Pull,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Resistance Band,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Shoulder External Rotation,,Transverse Plane,Upper Body,Pull,Compound,Bodybuilding
Resistance Band Overhead Press,Video Demonstration,Video Explanation,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,Resistance Band,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Resistance Band Alternating Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,Resistance Band,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Suspension Skull Crusher,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Anconeus,Suspension Trainer,None,0,Standing,Double Arm,Pronated,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Slider Double Dumbbell Front Rack Lateral Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Dumbbell,2,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Slider Double Dumbbell Suitcase Lateral Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Dumbbell,2,Standing,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Slider Double Dumbbell Overhead Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Dumbbell,2,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Double Dumbbell Skull Crusher,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Anconeus,Dumbbell,Bench (Flat),1,Supine,Double Arm,Neutral,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Dumbbell Incline Bench Skull Crusher,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Anconeus,Dumbbell,Bench (Incline),1,Seated,Double Arm,Neutral,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Dumbbell Decline Bench Skull Crusher,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Anconeus,Dumbbell,Bench (Decline),1,Supine,Double Arm,Neutral,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Dumbbell Crush Grip Skull Crusher,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Anconeus,Dumbbell,Bench (Flat),1,Supine,Double Arm,Crush Grip,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Dumbbell Crush Grip Incline Bench Skull Crusher,,,Beginner,Triceps,Triceps Brachii ,Anconeus,Dumbbell,Bench (Incline),1,Seated,Double Arm,Crush Grip,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Dumbbell Crush Grip Decline Bench Skull Crusher,,,Beginner,Triceps,Triceps Brachii ,Anconeus,Dumbbell,Bench (Decline),1,Supine,Double Arm,Crush Grip,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Dumbbell Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Rhomboids,Dumbbell,None,0,Standing,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
EZ Bar Reverse Grip Bent Over Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Rhomboids,EZ Bar,None,0,Standing,Double Arm,Supinated,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Front Rack Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Overhead Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Overhead Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Double Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Rhomboids,Dumbbell,None,0,Standing,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
